order_item_id,order_id,product_id,quantity,unit_price,discount_percent,sale_price,line_total
1,1,29,3,299,0,299,897
2,2,30,3,349,5,332,996
3,2,2,1,55000,5,52250,52250
4,2,4,2,3500,5,3325,6650
5,3,6,1,1200,0,1200,1200
6,4,25,2,599,10,539,1078
7,4,39,1,3200,10,2880,2880
8,4,34,3,699,10,629,1887
9,5,28,2,449,0,449,898
10,5,29,2,299,0,299,598
11,6,28,2,449,15,382,764
12,6,21,1,399,15,339,339
13,6,17,1,3200,15,2720,2720
14,7,7,2,2500,10,2250,4500
15,7,24,3,1299,10,1169,3507
16,7,9,1,499,10,449,449
17,7,36,2,1500,10,1350,2700
18,8,4,1,3500,10,3150,3150
19,8,19,1,1800,10,1620,1620
20,8,39,3,3200,10,2880,8640
21,8,20,2,1400,10,1260,2520
22,9,36,2,1500,0,1500,3000
23,9,24,3,1299,0,1299,3897
24,9,8,3,2800,0,2800,8400
25,10,39,1,3200,0,3200,3200
26,11,22,3,4500,10,4050,12150
27,11,23,2,999,10,899,1798
28,11,1,1,18000,10,16200,16200
29,12,6,2,1200,5,1140,2280
30,13,24,1,1299,10,1169,1169
31,13,20,1,1400,10,1260,1260
32,14,6,2,1200,5,1140,2280
33,15,18,3,6500,0,6500,19500
34,15,14,3,3499,0,3499,10497
35,15,33,3,1800,0,1800,5400
36,15,8,2,2800,0,2800,5600
37,16,3,1,22000,0,22000,22000
38,16,15,2,1199,0,1199,2398
39,16,26,1,499,0,499,499
40,17,19,1,1800,5,1710,1710
41,17,21,1,399,5,379,379
42,17,8,2,2800,5,2660,5320
43,18,33,2,1800,0,1800,3600
44,18,36,3,1500,0,1500,4500
45,19,30,2,349,10,314,628
46,20,19,3,1800,20,1440,4320
47,20,8,2,2800,20,2240,4480
48,20,26,3,499,20,399,1197
49,20,2,2,55000,20,44000,88000
50,21,16,1,699,10,629,629
51,22,15,3,1199,0,1199,3597
52,22,22,3,4500,0,4500,13500
53,22,11,1,799,0,799,799
54,23,10,3,1299,0,1299,3897
55,23,16,1,699,0,699,699
56,23,7,3,2500,0,2500,7500
57,24,30,3,349,15,297,891
58,24,37,3,1200,15,1020,3060
59,24,38,2,899,15,764,1528
60,24,29,3,299,15,254,762
61,25,5,2,8000,0,8000,16000
62,25,31,3,399,0,399,1197
63,25,29,1,299,0,299,299
64,25,20,2,1400,0,1400,2800
65,26,4,3,3500,0,3500,10500
66,27,30,1,349,15,297,297
67,27,38,2,899,15,764,1528
68,27,36,3,1500,15,1275,3825
69,27,3,2,22000,15,18700,37400
70,28,29,1,299,15,254,254
71,29,3,3,22000,10,19800,59400
72,29,16,3,699,10,629,1887
73,30,19,1,1800,10,1620,1620
74,30,25,3,599,10,539,1617
75,30,27,3,549,10,494,1482
76,31,7,3,2500,20,2000,6000
77,31,36,3,1500,20,1200,3600
78,31,25,1,599,20,479,479
79,32,23,2,999,15,849,1698
